عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
مقرر,1154,614,action,برآورد (0.69),واژه‌ی جدید
به عنوان,1248,614,principle,طبق قانون (0.72),واژه‌ی جدید
مصوب,940,612,object,تصویب‌نامه (0.75),واژه‌ی جدید
دفتر,1164,610,object,دفترخانه (0.85),واژه‌ی جدید
وکیل خواهان,1175,608,role,وکیل (0.82),واژه‌ی جدید
موکل,2295,607,role,مودع (0.69),واژه‌ی جدید
استماع,1113,603,action,ضبط (0.72),واژه‌ی جدید
زندگی,2190,602,concept,حق زندگی (0.70),واژه‌ی جدید
خسارات دادرسی,875,598,object,هزینه‌های دادرسی (0.79),واژه‌ی جدید
اوراق پرونده,706,598,object,پرونده (0.80),واژه‌ی جدید
عنه,797,598,role,موصی له (0.67),واژه‌ی جدید
مندرج,967,596,object,منقول (0.77),واژه‌ی جدید
برابر,1083,595,concept,همزمانی (0.69),واژه‌ی جدید
رسیدگی به,1062,591,action,رسیدگی (0.95),alias پیشنهادی برای «رسیدگی»
موجود,784,590,action,وضع (0.67),واژه‌ی جدید
حیث,848,589,concept,حیازت (0.70),واژه‌ی جدید
نشده است,812,587,concept,غیرمستند (0.66),واژه‌ی جدید
محترم تجدیدنظر,650,586,concept,تجدیدنظر (0.86),واژه‌ی جدید
با استناد,750,586,principle,طبق قانون (0.78),واژه‌ی جدید
سه,1266,585,role,ثالث (0.73),واژه‌ی جدید
رابطه,954,580,concept,رابطه حقوقی (0.82),واژه‌ی جدید
نامبرده,1079,580,concept,بی‌نام (0.71),واژه‌ی جدید
فراهم,691,578,action,تأمین (0.73),واژه‌ی جدید
اسناد,1461,575,object,اسناد رسمی (0.87),واژه‌ی جدید
طرف,1052,574,role,بی‌طرف (0.75),واژه‌ی جدید
دهد,842,573,object,دیه (0.65),واژه‌ی جدید
مندرج در,904,573,role,مضمون (0.72),واژه‌ی جدید
بنا به,716,571,principle,طبق قانون (0.77),واژه‌ی جدید
بوده است,1018,570,concept,ملزم بودن (0.65),واژه‌ی جدید
ها,1720,570,concept,هبه (0.73),واژه‌ی جدید
این شعبه,783,568,object,شعبه دادگاه (0.68),واژه‌ی جدید
امور مدنی,724,565,principle,حقوق مدنی (0.84),واژه‌ی جدید
لذا دادگاه,663,564,concept,نظر دادگاه (0.69),واژه‌ی جدید
بطلان دعوی,846,564,concept,بطلان (0.78),واژه‌ی جدید
موجبات,635,563,concept,سبب (0.71),واژه‌ی جدید
مرحله,721,560,action,گام (0.63),واژه‌ی جدید
فاقد,830,559,concept,نبود صلاحیت (0.74),واژه‌ی جدید
ثبتی,1647,555,action,ثبت (0.90),alias پیشنهادی برای «ثبت»
در صورت,797,552,principle,فقط در صورت (0.82),واژه‌ی جدید
کلاسه,880,552,concept,کلاس (0.83),واژه‌ی جدید
به دادگاه,794,550,concept,به‌محکومیت (0.77),واژه‌ی جدید
قرائت,820,548,concept,استقراء (0.68),واژه‌ی جدید
دلالت,768,547,concept,کفالت (0.70),واژه‌ی جدید
انقلاب در,756,545,action,تغییر (0.59),واژه‌ی جدید
نگردیده,737,542,role,بزه‌دیده (0.65),واژه‌ی جدید
از شعبه,749,539,object,شعبه دادگاه (0.73),واژه‌ی جدید
تجدیدنظرخوانده,1011,539,concept,تجدیدنظر (0.85),واژه‌ی جدید
بخش,1200,538,object,بخش‌نامه (0.82),واژه‌ی جدید
دانسته,718,537,object,تعرفه (0.69),واژه‌ی جدید
اثبات,1109,537,concept,ثبوت (0.89),alias پیشنهادی برای «ثبوت»
تواند,765,537,concept,مظنه (0.61),واژه‌ی جدید
نکرده,731,534,concept,نبود صلاحیت (0.61),واژه‌ی جدید
همین,765,533,role,مضمون (0.60),واژه‌ی جدید
فیه,762,527,role,مضمون (0.59),واژه‌ی جدید
خصوص دادخواست,595,527,object,دادخواست (0.86),واژه‌ی جدید
به بطلان,831,527,concept,بطلان (0.84),واژه‌ی جدید
تجدیدنظرخواهی در,573,526,concept,تجدیدنظر (0.87),واژه‌ی جدید
اصول,606,520,principle,قوانین (0.64),واژه‌ی جدید
ذیل,783,518,action,زیرنظر (0.60),واژه‌ی جدید
ابرازی,676,515,action,خوداظهاری (0.76),واژه‌ی جدید
او,1521,515,role,ولی (0.59),واژه‌ی جدید
روز از,575,515,concept,خارج از موضوع (0.60),واژه‌ی جدید
محرز,625,515,role,مکره (0.64),واژه‌ی جدید
مهلت,755,514,concept,صلاحیت (0.68),واژه‌ی جدید
بعد,1144,514,principle,طبق قانون (0.63),واژه‌ی جدید
ملک,1864,513,object,فرع ملک (0.72),واژه‌ی جدید
دادگاه به,596,513,concept,به‌محکومیت (0.75),واژه‌ی جدید
قبل,890,513,concept,پیش‌فروش (0.65),واژه‌ی جدید
رأی قطعی,531,512,object,رای نهایی (0.86),واژه‌ی جدید
تاریخ ابلاغ,574,511,concept,اطلاق (0.62),واژه‌ی جدید
به عمل,708,510,concept,عهد عمل (0.71),واژه‌ی جدید
موصوف,785,510,role,موصی (0.76),واژه‌ی جدید
عضو,775,506,concept,رکن دعوی (0.75),واژه‌ی جدید
سپس,794,505,concept,سبب (0.56),واژه‌ی جدید
را صادر,638,503,action,صادر کردن گواهی (0.63),واژه‌ی جدید
یافته,671,500,action,یافتن (0.78),واژه‌ی جدید
پرونده به,807,499,object,پرونده (0.84),واژه‌ی جدید
آن حکم,520,498,object,حکم (0.80),واژه‌ی جدید
حال,783,496,concept,احوال (0.68),واژه‌ی جدید
پاسخ,906,496,action,رد (0.82),واژه‌ی جدید
شرایط,775,495,concept,شرط (0.81),واژه‌ی جدید
ضمن نقض,544,493,action,نقض (0.86),واژه‌ی جدید
این دادگاه,699,491,concept,نظر دادگاه (0.71),واژه‌ی جدید
خواهان در,635,490,role,اصحاب دعوی (0.78),واژه‌ی جدید
بالا,536,487,concept,خارج از موضوع (0.61),واژه‌ی جدید
صادره قطعی,501,487,concept,احکام قطعی (0.76),واژه‌ی جدید
دادگستری,723,486,role,واحد دادگستری (0.81),واژه‌ی جدید
پرداخت مبلغ,815,486,action,پرداخت (0.88),alias پیشنهادی برای «پرداخت»
مرقوم,810,486,role,ضامن (0.58),واژه‌ی جدید
طرفیت خانم,589,484,action,پشتیبانی (0.61),واژه‌ی جدید
