عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
شهر,229,116,role,شهرداری (0.76),واژه‌ی جدید
به طرفین,154,116,principle,بی‌طرفی (0.70),واژه‌ی جدید
بر عهده,135,116,concept,ذمه (0.71),واژه‌ی جدید
دراین,152,116,role,ديان (0.61),واژه‌ی جدید
غیر از,140,116,principle,فقط در صورت (0.72),واژه‌ی جدید
داده اند,155,115,action,گرفتن (0.67),واژه‌ی جدید
خصوص دادنامه,119,115,concept,دادرسی (0.68),واژه‌ی جدید
نفره,218,115,concept,شخص (0.64),واژه‌ی جدید
اجابت,125,115,concept,اجرت (0.63),واژه‌ی جدید
بحث,152,115,action,بررسی (0.70),واژه‌ی جدید
بدیهی,124,115,concept,لازمه (0.66),واژه‌ی جدید
مع,170,115,role,معشر (0.67),واژه‌ی جدید
از مهریه,171,115,object,ارثیه (0.65),واژه‌ی جدید
بیشتر,148,115,concept,پیشرفت (0.60),واژه‌ی جدید
از آنجا,142,115,principle,طبق قانون (0.58),واژه‌ی جدید
رابطه با,142,115,concept,رابطه حقوقی (0.77),واژه‌ی جدید
دختر,197,115,role,کودک (0.74),واژه‌ی جدید
آن دعوی,115,115,concept,دعوی (0.84),واژه‌ی جدید
زیرا دادنامه,115,115,concept,دادرسی (0.67),واژه‌ی جدید
دادگاه ادعای,118,115,concept,ادعا (0.77),واژه‌ی جدید
تمکین زوجه,158,115,action,تمکین (0.77),واژه‌ی جدید
دعوی در,128,114,concept,دعوی (0.91),alias پیشنهادی برای «دعوی»
تجدیدنظرخواهی نموده,119,114,concept,تجدیدنظر (0.83),واژه‌ی جدید
میدارد,159,114,role,مودع (0.54),واژه‌ی جدید
درخواست تجدیدنظرخواهی,116,114,concept,تجدیدنظر (0.85),واژه‌ی جدید
میشود,189,114,concept,قابل اجرا بودن (0.66),واژه‌ی جدید
تعرض,138,114,concept,اطلاق (0.74),واژه‌ی جدید
موضوع دعوی,155,114,action,اقامه دعوی (0.85),واژه‌ی جدید
محلی,182,114,object,محل (0.78),واژه‌ی جدید
در دعوی,137,114,concept,دعوی (0.87),alias پیشنهادی برای «دعوی»
قرار صادره,142,114,action,قرار (0.80),واژه‌ی جدید
در محل,156,114,object,محل (0.82),واژه‌ی جدید
دلایلی,117,114,object,دلایل توجیهی (0.80),واژه‌ی جدید
آنجا که,143,114,object,محل (0.62),واژه‌ی جدید
امانی,138,114,concept,امانت (0.75),واژه‌ی جدید
واعلام می,127,114,object,اعلامیه حراج (0.67),واژه‌ی جدید
موجه تشخیص,118,114,object,دلایل توجیهی (0.67),واژه‌ی جدید
التفات به,124,114,role,موصی له (0.71),واژه‌ی جدید
کپی,185,114,object,کپی‌رایت (0.74),واژه‌ی جدید
آن صادر,122,114,action,صادر کردن حکم (0.66),واژه‌ی جدید
ملاقات,295,114,concept,حق ملاقات (0.81),واژه‌ی جدید
فرزندان,292,114,role,اولاد (0.89),alias پیشنهادی برای «اولاد»
به‌,187,114,concept,به‌محکومیت (0.64),واژه‌ی جدید
مطالبه خسارات,146,113,concept,خسارت (0.74),واژه‌ی جدید
هستم,176,113,object,یادداشت (0.69),واژه‌ی جدید
را قبول,168,113,action,پذیرش (0.78),واژه‌ی جدید
با استدلال,141,113,action,استدلال (0.91),alias پیشنهادی برای «استدلال»
قرار نگرفته,130,113,concept,مؤجل (0.67),واژه‌ی جدید
قادر به,171,113,concept,قابل اجرا بودن (0.67),واژه‌ی جدید
معادل,151,113,concept,همزمانی (0.68),واژه‌ی جدید
صرفنظر,138,113,concept,تجدیدنظر (0.72),واژه‌ی جدید
اختلافات,153,113,concept,اختلاف (0.93),alias پیشنهادی برای «اختلاف»
فقره چک,241,113,action,صدور چک (0.77),واژه‌ی جدید
مدنی مصوب,129,113,concept,احوال مدنی (0.71),واژه‌ی جدید
غیره,131,113,concept,غیرمستقل (0.74),واژه‌ی جدید
به پزشکی,212,113,object,موصى به (0.60),واژه‌ی جدید
در اوراق,125,113,object,اوراق قرضه (0.70),واژه‌ی جدید
داشتند,150,113,concept,عده (0.64),واژه‌ی جدید
از زمان,145,113,concept,خارج از موضوع (0.63),واژه‌ی جدید
فاقد وجاهت,123,113,concept,نبود صلاحیت (0.82),واژه‌ی جدید
جزایی,170,112,concept,وضعیت جزائی (0.77),واژه‌ی جدید
منطقه,175,112,object,محل (0.72),واژه‌ی جدید
جبران,170,112,action,جبران خسارت (0.78),واژه‌ی جدید
از هرگونه,115,112,action,جلوگیری (0.58),واژه‌ی جدید
عمده,137,112,concept,عده (0.66),واژه‌ی جدید
در مهلت,143,112,principle,طبق قانون (0.70),واژه‌ی جدید
صدور رای,191,112,object,رای مشورتی (0.80),واژه‌ی جدید
گواهان,230,112,object,گواهی (0.80),واژه‌ی جدید
با قانون,125,112,principle,طبق قانون (0.88),alias پیشنهادی برای «طبق قانون»
خویش را,133,112,action,خوداظهاری (0.74),واژه‌ی جدید
مستقل,152,112,concept,غیرمستقل (0.73),واژه‌ی جدید
ارکان,139,112,concept,ارکان عقد (0.79),واژه‌ی جدید
امعان,116,112,concept,لعان (0.70),واژه‌ی جدید
در ماهیت,155,112,concept,ماهیت (0.85),واژه‌ی جدید
رویه شماره,154,112,object,سریال شماره (0.71),واژه‌ی جدید
شاخص,146,112,principle,معیار (0.67),واژه‌ی جدید
خیر,174,112,principle,خیرخواهی (0.68),واژه‌ی جدید
به او,175,112,role,موصی له (0.73),واژه‌ی جدید
تقدیمی خواهان,115,112,role,اصحاب دعوی (0.71),واژه‌ی جدید
به ثبت,173,112,action,ثبت (0.87),واژه‌ی جدید
دادگاه کیفری,345,112,concept,قانون کیفری (0.80),واژه‌ی جدید
زوجین در,136,112,concept,ازدواج (0.67),واژه‌ی جدید
در وضعیت,122,112,action,وضع (0.74),واژه‌ی جدید
شورای حل,189,112,role,شورای حل اختلاف (0.84),واژه‌ی جدید
گردیده وارد,114,112,concept,مداخله (0.69),واژه‌ی جدید
موضوع به,122,111,concept,خارج از موضوع (0.73),واژه‌ی جدید
مطروحه از,130,111,concept,خارج از موضوع (0.65),واژه‌ی جدید
از وصول,136,111,action,وصول (0.91),alias پیشنهادی برای «وصول»
فتوکپی,153,111,object,تصویر (0.67),واژه‌ی جدید
اینکه دادنامه,114,111,concept,دادرسی (0.71),واژه‌ی جدید
کسر,162,111,action,تقسیط (0.62),واژه‌ی جدید
خواندگان ردیف,225,111,role,اصحاب دعوی (0.59),واژه‌ی جدید
به اعتبار,145,111,action,اعاده اعتبار (0.71),واژه‌ی جدید
قید شده,136,111,action,وضع قید (0.81),واژه‌ی جدید
اینکه زوج,129,111,concept,ازدواج (0.70),واژه‌ی جدید
نظربه اینکه,151,111,action,بررسی (0.69),واژه‌ی جدید
امری,132,111,principle,حقوق بشر (0.69),واژه‌ی جدید
قطعه زمین,204,111,object,نمونه (0.63),واژه‌ی جدید
می باشد،,138,111,principle,طبق قانون (0.64),واژه‌ی جدید
وجود دارد,127,111,concept,قانونی بودن (0.67),واژه‌ی جدید
دادنامه های,154,111,concept,دادرسی (0.71),واژه‌ی جدید
مرا,221,111,concept,مراهنه (0.64),واژه‌ی جدید
اعلام می‌دارد,122,111,object,اعلامیه حراج (0.68),واژه‌ی جدید
واصله,123,110,action,مرافقه (0.64),واژه‌ی جدید
مراحل,130,110,action,طی مراحل قانونی (0.69),واژه‌ی جدید
به صحت,118,110,concept,صحت (0.74),واژه‌ی جدید
قابل فرجام,142,110,action,فرجام (0.74),واژه‌ی جدید
مواردی,129,110,concept,طی شرایط خاص (0.73),واژه‌ی جدید
صالح,165,110,concept,صالح بودن (0.78),واژه‌ی جدید
معتبر,151,110,object,مدرک (0.66),واژه‌ی جدید
معمول,121,110,principle,پیش‌فرض (0.62),واژه‌ی جدید
خروج,180,110,action,خروج از زندان (0.77),واژه‌ی جدید
حاکم بر,133,110,role,حاکم (0.90),alias پیشنهادی برای «حاکم»
به کیفیت,113,110,concept,ظرفیت (0.62),واژه‌ی جدید
درحق,136,110,concept,حق (0.73),واژه‌ی جدید
جهت موجه,112,110,concept,جهت‌گیری (0.75),واژه‌ی جدید
ابتدا,132,110,object,کمک (0.61),واژه‌ی جدید
با صدور,143,110,action,صادر کردن حکم (0.73),واژه‌ی جدید
دادستان,235,110,concept,دادرسی (0.81),واژه‌ی جدید
دائر,155,110,concept,عقد (0.60),واژه‌ی جدید
در همین,122,110,principle,طبق قانون (0.65),واژه‌ی جدید
در عقد,183,110,concept,عقد (0.82),واژه‌ی جدید
شده،,158,110,action,مأخوذ (0.63),واژه‌ی جدید
دال,133,110,role,دلال (0.69),واژه‌ی جدید
که موکل,133,110,role,موصی له (0.67),واژه‌ی جدید
پرداخت وجه,174,110,action,پرداخت (0.86),واژه‌ی جدید
بخواسته مطالبه,122,109,object,طلب (0.77),واژه‌ی جدید
زندگی می,153,109,concept,حق زندگی (0.60),واژه‌ی جدید
از تبادل,129,109,action,تبدیل (0.68),واژه‌ی جدید
وکالت اقای,213,109,concept,وکالت (0.77),واژه‌ی جدید
رأی فرجام,193,109,object,رای نهایی (0.79),واژه‌ی جدید
عقود,168,109,concept,عقد (0.77),واژه‌ی جدید
کارشناسان,237,109,concept,نظر کارشناسان حقوقی (0.76),واژه‌ی جدید
مقام دفاع,121,109,action,دفاع (0.79),واژه‌ی جدید
بدیهی است,117,109,concept,غیرقابل اعتراض (0.66),واژه‌ی جدید
دادگاه نخستین,140,109,action,ورود به دادگاه (0.61),واژه‌ی جدید
یک واحد,173,109,object,واحد پول (0.80),واژه‌ی جدید
مطلع,155,109,concept,موقوف (0.63),واژه‌ی جدید
بهار آزادی,297,109,object,حق‌التحریر (0.72),واژه‌ی جدید
اعلام ختم,140,109,action,اعلام ورشکستگی (0.75),واژه‌ی جدید
اول به,143,109,object,موصى به (0.60),واژه‌ی جدید
را مورد,125,109,action,رد (0.63),واژه‌ی جدید
بعمل آمده,139,109,action,تصرف (0.69),واژه‌ی جدید
نداده است,125,109,action,عدم حضور (0.66),واژه‌ی جدید
مطابق با,130,109,principle,طبق قانون (0.83),واژه‌ی جدید
از خانم,140,109,concept,شخص (0.68),واژه‌ی جدید
موسوی,112,109,concept,مشارکت (0.55),واژه‌ی جدید
فراهم آورد,110,109,concept,ایجاد تعهد (0.71),واژه‌ی جدید
هنوز,139,109,concept,بلاتکلیفی (0.60),واژه‌ی جدید
مضافاً,128,109,object,تبصره (0.70),واژه‌ی جدید
ابلاغ،,129,109,action,نقل (0.65),واژه‌ی جدید
یا عدم,129,108,action,عدم حضور (0.68),واژه‌ی جدید
کارشناس منتخب,140,108,role,مشاور (0.66),واژه‌ی جدید
بموجب دادنامه,172,108,principle,طبق قانون (0.78),واژه‌ی جدید
مداقه در,114,108,role,مدیون (0.65),واژه‌ی جدید
دلیل بر,118,108,concept,علت (0.85),واژه‌ی جدید
ذکر شده,137,108,action,ذکر (0.77),واژه‌ی جدید
رأی شماره,197,108,object,رأی (0.86),واژه‌ی جدید
اختیارات,193,108,concept,صلاحیت (0.73),واژه‌ی جدید
وظرف,109,108,action,ضیعف (0.63),واژه‌ی جدید
درمحاکم,114,108,action,محاکمه (0.73),واژه‌ی جدید
صحیحاً,111,108,role,صاحب‌حق (0.70),واژه‌ی جدید
نفقه معوقه,205,108,concept,نفقه (0.83),واژه‌ی جدید
انتظامی,191,108,action,گشت پلیس (0.71),واژه‌ی جدید
متن دادخواست,115,108,object,دادخواست (0.85),واژه‌ی جدید
بیماری,561,108,action,علاج (0.71),واژه‌ی جدید
وقتی,160,108,principle,فقط در صورتی که (0.72),واژه‌ی جدید
جدا,150,108,action,جداسازی (0.79),واژه‌ی جدید
اشعار دارد,119,108,role,صاحب‌نظر (0.64),واژه‌ی جدید
طفل,308,108,role,کودک (0.93),alias پیشنهادی برای «کودک»
مرادی,111,108,concept,مقصود (0.56),واژه‌ی جدید
تشریفات قانونی,119,107,object,هزینه‌های قانونی (0.77),واژه‌ی جدید
حیث رعایت,107,107,principle,رعایت حقوق (0.76),واژه‌ی جدید
در صلاحیت,202,107,concept,صلاحیت (0.87),واژه‌ی جدید
ملک مورد,155,107,object,فرع ملک (0.65),واژه‌ی جدید
سوء,256,107,concept,سوءنیت (0.79),واژه‌ی جدید
طرفیت خواندگان,127,107,concept,تمایل (0.61),واژه‌ی جدید
موکل در,149,107,role,متهم (0.70),واژه‌ی جدید
که حکایت,122,107,object,قضیه (0.61),واژه‌ی جدید
مگر اینکه,123,107,principle,فقط در صورتی که (0.84),واژه‌ی جدید
به غیر,143,107,principle,فقط در صورت (0.73),واژه‌ی جدید
ها را,146,107,object,هامش (0.63),واژه‌ی جدید
به وجود,121,107,action,حصول (0.66),واژه‌ی جدید
بر فرض,131,107,concept,فرض (0.84),واژه‌ی جدید
تنظیم شده,126,107,action,تنظیم (0.75),واژه‌ی جدید
محتویات پرونده،,109,107,object,پرونده (0.76),واژه‌ی جدید
خوانده اظهار,133,106,action,تحریر اظهارات (0.70),واژه‌ی جدید
را مطالبه,123,106,object,طلب (0.70),واژه‌ی جدید
مدنی دادنامه,114,106,concept,قانون مدنی (0.74),واژه‌ی جدید
روی,171,106,action,رد (0.59),واژه‌ی جدید
لوایح طرفین,108,106,object,لایحه (0.66),واژه‌ی جدید
یک قطعه,164,106,object,یادداشت (0.68),واژه‌ی جدید
پرداخت شده,128,106,action,پرداخت (0.84),واژه‌ی جدید
دادرسی،,123,106,concept,دادرسی (0.86),واژه‌ی جدید
محول,126,106,action,تبدیل (0.76),واژه‌ی جدید
کاری,156,106,object,حق‌العمل‌کاری (0.64),واژه‌ی جدید
ایرادی از,106,106,concept,خارج از موضوع (0.71),واژه‌ی جدید
ریاست,161,106,role,ریاست قضاوت (0.80),واژه‌ی جدید
را منطبق,106,106,action,رد (0.66),واژه‌ی جدید
شده است،,126,106,principle,طبق قانون (0.63),واژه‌ی جدید
اعتراضی,109,105,action,اعتراض (0.91),alias پیشنهادی برای «اعتراض»
تقدیمی است,119,105,concept,تبرع (0.69),واژه‌ی جدید
از اداره,128,105,principle,طبق قانون (0.70),واژه‌ی جدید
سوی زوج,143,105,concept,ازدواج (0.59),واژه‌ی جدید
سازد,118,105,concept,بزه (0.61),واژه‌ی جدید
مشاهده,151,105,role,شاهد (0.73),واژه‌ی جدید
از حق,147,105,concept,حق (0.79),واژه‌ی جدید
نحن,120,105,action,همکاری (0.59),واژه‌ی جدید
شدم,176,105,concept,سلم (0.60),واژه‌ی جدید
انجام تعهد,208,105,concept,ایجاد تعهد (0.91),alias پیشنهادی برای «ایجاد تعهد»
کلی,146,105,principle,کلیات (0.77),واژه‌ی جدید
بینی,131,105,action,پیش‌بینی (0.61),واژه‌ی جدید
تفویض,187,105,concept,تبعیض (0.69),واژه‌ی جدید
به وکیل,134,105,role,وکیل (0.83),واژه‌ی جدید
به اصل,133,105,principle,طبق قانون (0.66),واژه‌ی جدید
نماید،,129,105,principle,لحاظ (0.63),واژه‌ی جدید
دال بر,126,105,object,برات (0.63),واژه‌ی جدید
قرارگرفته,152,105,action,گرفتن (0.69),واژه‌ی جدید
محض,127,105,principle,لحاظ (0.60),واژه‌ی جدید
چندین,121,105,concept,عده (0.72),واژه‌ی جدید
رأی به,126,105,object,رأی (0.89),alias پیشنهادی برای «رأی»
دادرسی نیز,107,105,concept,دادرسی (0.82),واژه‌ی جدید
تأیید می‌نماید,107,105,action,تأیید (0.85),واژه‌ی جدید
استدلال محکمه,109,105,action,استدلال (0.84),واژه‌ی جدید
اجمالاً مبنی,107,105,principle,لحاظ (0.64),واژه‌ی جدید
سال است,141,104,concept,شخص (0.63),واژه‌ی جدید
برای زوجه,146,104,role,موصی له (0.65),واژه‌ی جدید
موثری,111,104,concept,قابل اجرا بودن (0.63),واژه‌ی جدید
پور,131,104,object,پروانه (0.57),واژه‌ی جدید
نگرفته است,116,104,action,عدم حضور (0.65),واژه‌ی جدید
به علاوه,126,104,object,تبصره (0.63),واژه‌ی جدید
اینکه مطابق,126,104,principle,طبق قانون (0.81),واژه‌ی جدید
تجدیدنظرخوانده به,120,104,concept,تجدیدنظر (0.84),واژه‌ی جدید
رسمی انتقال,184,104,action,نقل و انتقال (0.70),واژه‌ی جدید
به طرح,129,104,principle,طبق قانون (0.69),واژه‌ی جدید
با مراجعه,126,104,action,رجوع (0.72),واژه‌ی جدید
نهایت,130,104,object,رای نهایی (0.66),واژه‌ی جدید
دو سال,138,104,concept,دوره محکومیت (0.56),واژه‌ی جدید
کند که,115,104,object,موصى به (0.64),واژه‌ی جدید
ساختمان,339,104,concept,شرکت (0.69),واژه‌ی جدید
دو نفر,133,104,concept,شخص (0.70),واژه‌ی جدید
به هیچ,130,104,concept,بی‌دلیل (0.60),واژه‌ی جدید
از نوع,138,104,concept,نوع جرم (0.71),واژه‌ی جدید
احد,156,104,role,ثالث (0.63),واژه‌ی جدید
در ادامه,147,104,concept,خارج از موضوع (0.74),واژه‌ی جدید
صاحب,170,104,role,صاحب‌حق (0.75),واژه‌ی جدید
اعلام می‌گردد,124,104,object,اعلامیه حراج (0.68),واژه‌ی جدید
ثالثا,118,103,role,ثالث (0.76),واژه‌ی جدید
مجلس,155,103,role,مجلس شورای اسلامی (0.84),واژه‌ی جدید
مذکور با,112,103,principle,طبق قانون (0.67),واژه‌ی جدید
بانکی,181,103,object,بانک (0.80),واژه‌ی جدید
منصرف,127,103,concept,منفصل (0.73),واژه‌ی جدید
که اولاً,113,103,principle,لحاظ (0.57),واژه‌ی جدید
مضبوط در,122,103,action,جدیت (0.63),واژه‌ی جدید
وکلای طرفین,134,103,role,وکیل (0.71),واژه‌ی جدید
در رأی,132,103,object,رأی (0.87),alias پیشنهادی برای «رأی»
خانم ها,148,103,concept,شخص (0.62),واژه‌ی جدید
محکوم گردیده,116,103,role,محکوم‌علیه (0.87),alias پیشنهادی برای «محکوم‌علیه»
نظر می,112,103,role,صاحب‌نظر (0.74),واژه‌ی جدید
قانون ثبت,186,103,concept,حق ثبت (0.85),واژه‌ی جدید
عدم تمکین,125,103,action,تمکین (0.74),واژه‌ی جدید
خواهان مبنی,112,103,role,اصحاب دعوی (0.75),واژه‌ی جدید
مفاد دادخواست,106,102,object,دادخواست (0.80),واژه‌ی جدید
پانصد,171,102,concept,خمس (0.71),واژه‌ی جدید
معاینه,213,102,action,بازرسی (0.73),واژه‌ی جدید
به تبصره,106,102,object,تبصره (0.90),alias پیشنهادی برای «تبصره»
کشف,167,102,action,کشف جرم (0.82),واژه‌ی جدید
ستون,120,102,action,استیمان (0.57),واژه‌ی جدید
بنظر,129,102,role,صاحب‌نظر (0.70),واژه‌ی جدید
حمل,229,102,action,نقل (0.68),واژه‌ی جدید
به نفع,129,102,role,ذی‌نفع (0.77),واژه‌ی جدید
آمد,184,102,object,رسید (0.83),واژه‌ی جدید
هر گونه,117,102,concept,نوع جرم (0.60),واژه‌ی جدید
جهت عدم,117,102,action,جلوگیری (0.72),واژه‌ی جدید
تومان به,139,102,object,واحد پول (0.64),واژه‌ی جدید
بدین توضیح,108,102,object,دلایل توجیهی (0.70),واژه‌ی جدید
است نظر,112,102,role,صاحب‌نظر (0.72),واژه‌ی جدید
جرح,212,102,concept,خسارت (0.75),واژه‌ی جدید
منافع,206,101,concept,منافع اقتصادی (0.88),alias پیشنهادی برای «منافع اقتصادی»
مکلف است,111,101,concept,ملزم بودن (0.78),واژه‌ی جدید
مردود اعلام,117,101,action,اعلام ورشکستگی (0.74),واژه‌ی جدید
العاده,130,101,concept,عده (0.65),واژه‌ی جدید
فوق العاده,130,101,concept,غیرقابل اغماض (0.68),واژه‌ی جدید
لوایح تقدیمی,119,101,object,لایحه (0.68),واژه‌ی جدید
مقدار,195,101,concept,حد (0.70),واژه‌ی جدید
ما نحن,115,101,concept,تعریف (0.55),واژه‌ی جدید
شعب,134,101,object,شعبه دادگاه (0.60),واژه‌ی جدید
صلاحیت دادگاه,179,101,concept,صلاحیت (0.82),واژه‌ی جدید
ابلاغ شده,122,101,action,استعلام (0.70),واژه‌ی جدید
امعان نظر,105,101,role,صاحب‌نظر (0.65),واژه‌ی جدید
قائم,183,101,object,موقوفه (0.59),واژه‌ی جدید
قرائن,121,101,concept,قرابت (0.68),واژه‌ی جدید
این شرح,109,101,object,یادداشت (0.60),واژه‌ی جدید
از عقد,224,101,concept,عقد (0.84),واژه‌ی جدید
واحده,148,101,role,واحد حقوقی (0.75),واژه‌ی جدید
ارائه نگردیده,116,101,action,عدم حضور (0.69),واژه‌ی جدید
صادرشده است,116,101,action,صادر کردن گواهی (0.69),واژه‌ی جدید
چیزی,134,101,object,قضیه (0.72),واژه‌ی جدید
آیا,201,101,principle,طبق قانون (0.58),واژه‌ی جدید
را انجام,147,101,object,موصى به (0.68),واژه‌ی جدید
تبصره الحاقی,156,101,object,تبصره (0.87),alias پیشنهادی برای «تبصره»
ردّ دعوی,145,101,concept,دعوی نفی مالکیت (0.76),واژه‌ی جدید
رسیدگی قرار,112,100,action,رسیدگی (0.90),alias پیشنهادی برای «رسیدگی»
زوجه می,122,100,concept,ازدواج (0.62),واژه‌ی جدید
در حد,116,100,concept,حد (0.81),واژه‌ی جدید
گزارش عضو,101,100,action,گزارش‌گیری (0.79),واژه‌ی جدید
صرفنظر از,118,100,principle,فقط در صورت (0.71),واژه‌ی جدید
پیوست دادخواست,119,100,object,دادخواست (0.82),واژه‌ی جدید
به قرار,129,100,action,قرار (0.80),واژه‌ی جدید
عمومی دیوان,137,100,role,دیوان عدالت اداری (0.76),واژه‌ی جدید
رسمی دادگستری,124,100,role,واحد دادگستری (0.76),واژه‌ی جدید
با تعیین,131,100,principle,طبق قانون (0.75),واژه‌ی جدید
اقامه نشده,102,100,concept,غیرمستند (0.68),واژه‌ی جدید
بررسی محتویات,107,100,action,بررسی (0.77),واژه‌ی جدید
در ضمن,129,100,principle,طبق قانون (0.69),واژه‌ی جدید
می گیرد,121,100,action,گرفتن (0.79),واژه‌ی جدید
ناحیه تجدیدنظرخواه,112,100,concept,قابل تجدیدنظر (0.71),واژه‌ی جدید
قرارداد عادی,141,100,object,قرارداد (0.78),واژه‌ی جدید
توجهی,105,100,principle,احتیاط (0.73),واژه‌ی جدید
زیرا رأی,105,100,object,رأی (0.74),واژه‌ی جدید
کتبی آقای,100,100,object,شهادت کتبی (0.76),واژه‌ی جدید
دستگاه آپارتمان,160,100,object,لوازم (0.61),واژه‌ی جدید
سرانجام,130,99,object,رای نهایی (0.69),واژه‌ی جدید
جلسات,137,99,object,جلسه (0.88),alias پیشنهادی برای «جلسه»
اصرار,126,99,concept,اراده (0.70),واژه‌ی جدید
مورد رسیدگی,111,99,action,رسیدگی (0.91),alias پیشنهادی برای «رسیدگی»
مطالبه نفقه,156,99,concept,نفقه (0.81),واژه‌ی جدید
دادخواست فرجامی,130,99,object,دادخواست (0.75),واژه‌ی جدید
عقدنامه,148,99,object,عهدنامه (0.79),واژه‌ی جدید
از رأی,136,99,object,رأی (0.86),واژه‌ی جدید
رسیده است,115,99,object,رسید (0.82),واژه‌ی جدید
موضوع دادنامه,104,99,object,دادخواست (0.77),واژه‌ی جدید
برای دادگاه,113,99,action,ورود به دادگاه (0.80),واژه‌ی جدید
مرد,150,99,concept,شخص (0.79),واژه‌ی جدید
مورد نظر,124,99,object,یادداشت (0.75),واژه‌ی جدید
بصورت,135,99,principle,طبق قانون (0.72),واژه‌ی جدید
پرونده پس,107,99,object,پرونده (0.79),واژه‌ی جدید
نفقه زوجه,153,99,concept,نفقه (0.86),واژه‌ی جدید
آن ها,221,99,role,اهل (0.61),واژه‌ی جدید
آن قسمت,122,99,object,قضیه (0.66),واژه‌ی جدید
ابلاغ، قابل,113,99,concept,قابل اجرا بودن (0.67),واژه‌ی جدید
مترتب,116,98,role,محتسب (0.67),واژه‌ی جدید
ایشان را,128,98,role,موصی له (0.68),واژه‌ی جدید
طلاق را,147,98,concept,طلاق (0.85),واژه‌ی جدید
به ان,163,98,object,اعیان (0.60),واژه‌ی جدید
تقاضای رد,113,98,action,رد (0.74),واژه‌ی جدید
نحن فیه,112,98,action,طی تفاهم (0.59),واژه‌ی جدید
استنکاف,117,98,action,استیناف (0.83),واژه‌ی جدید
نظرخواهی,113,98,object,رای مشورتی (0.78),واژه‌ی جدید
غیر قابل,129,98,concept,غیرممکن (0.89),alias پیشنهادی برای «غیرممکن»
پسندی,99,98,concept,تمایل (0.63),واژه‌ی جدید
پایه,130,98,concept,پایه‌گذاری حق (0.62),واژه‌ی جدید
صادره را,116,98,action,صادر کردن حکم (0.68),واژه‌ی جدید
از دادرسی,101,98,concept,دادرسی (0.84),واژه‌ی جدید
به زندگی,146,98,concept,حق زندگی (0.65),واژه‌ی جدید
متقاضی,132,98,object,طلب (0.74),واژه‌ی جدید
نامبرده به,105,98,role,محکوم‌علیه (0.72),واژه‌ی جدید
لذا ضمن,100,98,principle,طبق قانون (0.65),واژه‌ی جدید
عمدی,256,98,concept,خطای عمدی (0.85),واژه‌ی جدید
شوند,126,98,action,حصول (0.62),واژه‌ی جدید
ششم,154,98,role,شخص ثالث (0.57),واژه‌ی جدید
تجدیدنظرخواندگان,174,98,concept,تجدیدنظر (0.79),واژه‌ی جدید
اجتماعی,170,98,concept,وضعیت اجتماعی (0.73),واژه‌ی جدید
شرط ضمن,192,98,concept,شرط (0.84),واژه‌ی جدید
ارائه نداده,106,98,concept,نبود صلاحیت (0.70),واژه‌ی جدید
مؤثر در,116,98,concept,مداخله (0.65),واژه‌ی جدید
فقهی,130,98,principle,قضائی (0.68),واژه‌ی جدید
لذا مستنداً,104,98,principle,طبق قانون (0.68),واژه‌ی جدید
اساس محتویات,98,98,object,اساسنامه (0.64),واژه‌ی جدید
رأی بر,108,98,object,رأی (0.91),alias پیشنهادی برای «رأی»
نیاورده است,101,97,action,عدم حضور (0.69),واژه‌ی جدید
میلیارد,165,97,object,واحد پول (0.64),واژه‌ی جدید
حاصله از,108,97,action,مأخوذ (0.67),واژه‌ی جدید
مدتی,118,97,concept,بذل مدت (0.70),واژه‌ی جدید
قانونی اصدار,98,97,principle,قانونی (0.71),واژه‌ی جدید
مؤثری,105,97,concept,مداخله (0.65),واژه‌ی جدید
به نحوی,108,97,principle,طبق قانون (0.69),واژه‌ی جدید
مطرح شده,117,97,action,پیشنهاد (0.73),واژه‌ی جدید
شرح فوق,104,97,object,دلایل تکمیلی (0.66),واژه‌ی جدید
ارجاع به,135,97,action,ارجاع (0.90),alias پیشنهادی برای «ارجاع»
ساخت,171,97,action,تأسیس (0.69),واژه‌ی جدید
توافقی,138,97,concept,توافق (0.88),alias پیشنهادی برای «توافق»
منقوض,107,97,concept,معوض (0.72),واژه‌ی جدید
به همان,110,97,principle,طبق قانون (0.67),واژه‌ی جدید
خواهان نیز,102,97,role,اصحاب دعوی (0.74),واژه‌ی جدید
البته,126,97,principle,طبق قانون (0.63),واژه‌ی جدید
مطالعه,101,97,action,بررسی (0.74),واژه‌ی جدید
در نهایت,123,97,object,رای نهایی (0.66),واژه‌ی جدید
معترض دادنامه,97,97,action,اعتراض (0.78),واژه‌ی جدید
شدید,168,97,action,جدیت (0.67),واژه‌ی جدید
به انتقال,140,97,action,نقل (0.80),واژه‌ی جدید
صراحتاً,122,97,action,تأیید (0.65),واژه‌ی جدید
مدنی حکم,106,96,object,حکم (0.75),واژه‌ی جدید
پزشک,185,96,role,نویسنده (0.66),واژه‌ی جدید
هفته,123,96,object,هفتگی (0.84),واژه‌ی جدید
تجدیدنظرخواهان,182,96,concept,تجدیدنظر (0.82),واژه‌ی جدید
که حاکی,103,96,concept,ادعا (0.62),واژه‌ی جدید
ماه از,108,96,concept,خارج از موضوع (0.56),واژه‌ی جدید
